"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2025","1937","1345",0.261,0.267,-0.006000000000000005,0.448,0.462,-0.014000000000000012,0.342,0.348,-0.00599999999999995
"Red Sox","BOS","2025","1934","1296",0.253,0.26,-0.007000000000000006,0.423,0.456,-0.03300000000000003,0.328,0.341,-0.013000000000000012
"D-backs","AZ","2025","1902","1320",0.255,0.254,0.0010000000000000009,0.451,0.446,0.0050000000000000044,0.342,0.34,0.0020000000000000018
"Dodgers","LAD","2025","1898","1293",0.268,0.276,-0.008000000000000007,0.474,0.494,-0.020000000000000018,0.355,0.364,-0.009000000000000008
"Cardinals","STL","2025","1888","1328",0.265,0.26,0.0050000000000000044,0.408,0.416,-0.008000000000000007,0.328,0.328,0
"Reds","CIN","2025","1880","1241",0.243,0.236,0.007000000000000006,0.395,0.386,0.009000000000000008,0.316,0.308,0.008000000000000007
"Tigers","DET","2025","1874","1262",0.259,0.257,0.0020000000000000018,0.423,0.454,-0.031000000000000028,0.331,0.339,-0.008000000000000007
"Phillies","PHI","2025","1855","1285",0.264,0.27,-0.006000000000000005,0.411,0.444,-0.03300000000000003,0.331,0.344,-0.012999999999999956
"Yankees","NYY","2025","1846","1206",0.262,0.263,-0.0010000000000000009,0.476,0.485,-0.009000000000000008,0.357,0.36,-0.0030000000000000027
"Athletics","ATH","2025","1846","1325",0.252,0.259,-0.007000000000000006,0.414,0.421,-0.007000000000000006,0.32,0.324,-0.0040000000000000036
"Mets","NYM","2025","1845","1264",0.245,0.268,-0.02300000000000002,0.408,0.456,-0.04800000000000004,0.324,0.35,-0.025999999999999968
"Royals","KC","2025","1830","1341",0.242,0.256,-0.014000000000000012,0.361,0.405,-0.04400000000000004,0.29,0.313,-0.02300000000000002
"Giants","SF","2025","1826","1223",0.236,0.238,-0.0020000000000000018,0.385,0.397,-0.01200000000000001,0.309,0.313,-0.0040000000000000036
"Brewers","MIL","2025","1821","1232",0.23,0.239,-0.00899999999999998,0.351,0.369,-0.018000000000000016,0.295,0.306,-0.01100000000000001
"Braves","ATL","2025","1819","1242",0.246,0.253,-0.007000000000000006,0.39,0.425,-0.034999999999999976,0.314,0.327,-0.013000000000000012
"Mariners","SEA","2025","1817","1191",0.236,0.249,-0.013000000000000012,0.397,0.435,-0.03799999999999998,0.32,0.338,-0.018000000000000016
"Nationals","WSH","2025","1813","1252",0.242,0.262,-0.020000000000000018,0.39,0.424,-0.033999999999999975,0.311,0.331,-0.020000000000000018
"Pirates","PIT","2025","1812","1197",0.216,0.239,-0.022999999999999993,0.318,0.393,-0.07500000000000001,0.277,0.313,-0.035999999999999976
"Astros","HOU","2025","1780","1238",0.247,0.252,-0.0050000000000000044,0.375,0.407,-0.03199999999999997,0.308,0.321,-0.013000000000000012
"Rays","TB","2025","1777","1213",0.24,0.253,-0.013000000000000012,0.36,0.398,-0.038000000000000034,0.296,0.314,-0.018000000000000016
"Marlins","MIA","2025","1776","1221",0.248,0.255,-0.007000000000000006,0.39,0.42,-0.02999999999999997,0.31,0.322,-0.01200000000000001
"Blue Jays","TOR","2025","1763","1246",0.247,0.262,-0.015000000000000013,0.379,0.416,-0.03699999999999998,0.307,0.326,-0.019000000000000017
"White Sox","CWS","2025","1762","1186",0.216,0.235,-0.01899999999999999,0.328,0.384,-0.055999999999999994,0.276,0.304,-0.02799999999999997
"Rockies","COL","2025","1753","1127",0.217,0.23,-0.013000000000000012,0.36,0.388,-0.028000000000000025,0.285,0.3,-0.015000000000000013
"Rangers","TEX","2025","1740","1211",0.227,0.245,-0.017999999999999988,0.369,0.426,-0.056999999999999995,0.291,0.319,-0.028000000000000025
"Twins","MIN","2025","1739","1194",0.242,0.246,-0.0040000000000000036,0.386,0.41,-0.023999999999999966,0.308,0.318,-0.010000000000000009
"Orioles","BAL","2025","1719","1145",0.23,0.249,-0.01899999999999999,0.386,0.426,-0.03999999999999998,0.302,0.323,-0.02100000000000002
"Angels","LAA","2025","1709","1108",0.222,0.243,-0.02099999999999999,0.403,0.443,-0.03999999999999998,0.3,0.322,-0.02200000000000002
"Padres","SD","2025","1709","1235",0.259,0.262,-0.0030000000000000027,0.392,0.415,-0.022999999999999965,0.317,0.326,-0.009000000000000008
"Guardians","CLE","2025","1680","1153",0.233,0.233,0,0.38,0.386,-0.006000000000000005,0.303,0.305,-0.0020000000000000018